$MOVEMENTEVALUATION:SIMRUN	TIMEINT	MOVEMENT	MOVEMENT\FROMLINK	MOVEMENT\TOLINK	VEHS(ALL)	VEHS(10)	VEHS(20)	VEHS(30)	VEHS(40)	VEHDELAY(ALL)	VEHDELAY(10)	VEHDELAY(20)	VEHDELAY(30)	VEHDELAY(40)	STOPDELAY(ALL)	STOPDELAY(10)	STOPDELAY(20)	STOPDELAY(30)	STOPDELAY(40)	LOS(ALL)	LOSVAL(ALL)	QLEN	QLENMAX	VEHS(50)	VEHDELAY(50)	STOPDELAY(50)	LOS(50)	LOSVAL(50)
1	3600-7200	51-673: Chisholm Dr@12.9-670: Ballarat Rd  Western Hwy@1.4	673	670	21	18	0	3	0	1.73	1.55		2.78		0.00	0.00		0.00		LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	51-673: Chisholm Dr@12.9-671: Panamax Rd@7.5	673	671	3	3	0	0	0	7.74	7.74				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	51-885: Ballarat Rd  Western Hwy@6.9-10: Ballarat Rd  Western Hwy@18.5	885	10	0	0	0	0	0											LOS_A		0.00	0.00	0			LOS_A	
1	3600-7200	51-885: Ballarat Rd  Western Hwy@6.9-385: Chisholm Dr@11.7	885	385	1	1	0	0	0	1.05	1.05				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	51-885: Ballarat Rd  Western Hwy@6.9-670: Ballarat Rd  Western Hwy@1.4	885	670	251	217	1	31	2	0.22	0.23	0.00	0.11	0.09	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	51-885: Ballarat Rd  Western Hwy@6.9-671: Panamax Rd@7.5	885	671	62	62	0	0	0	1.79	1.79				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	51			990	916	4	62	8	0.57	0.53	1.74	0.92	1.64	0.02	0.02	0.00	0.00	0.00	LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	52-928: Melton Hwy@4.6-182@17.4	928	182	299	280	0	17	0	0.25	0.25		0.27		0.00	0.00		0.00		LOS_A	1	0.00	0.00	2	0.29	0.00	LOS_A	1
1	3600-7200	52-928: Melton Hwy@4.6-308: Ferris Rd  Melton Hwy@32.7	928	308	163	156	0	5	0	0.09	0.09		0.07		0.00	0.00		0.00		LOS_A	1	0.00	0.00	2	0.03	0.00	LOS_A	1
1	3600-7200	52-2259: Ferris Rd  Melton Hwy@16.4-182@17.4	2259	182	313	286	0	20	7	3.09	2.98		4.18	4.41	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	52-2259: Ferris Rd  Melton Hwy@16.4-200: Melton Hwy@86.6	2259	200	422	402	0	16	0	0.24	0.24		0.28		0.00	0.00		0.00		LOS_A	1	0.00	0.00	4	0.15	0.00	LOS_A	1
1	3600-7200	52-2260@39.2-200: Melton Hwy@86.6	2260	200	76	75	0	1	0	8.33	8.28		11.64		0.00	0.00		0.00		LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	52-2260@39.2-308: Ferris Rd  Melton Hwy@32.7	2260	308	55	54	0	1	0	0.22	0.22		0.22		0.00	0.00		0.00		LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	52			1328	1253	0	60	7	1.36	1.33		1.75	4.41	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00	8	0.16	0.00	LOS_A	1
1	3600-7200	53-899: Melton Hwy@13.5-199: Melton Hwy@15.4	899	199	0	0	0	0	0											LOS_A		0.00	0.00	0			LOS_A	
1	3600-7200	53-899: Melton Hwy@13.5-301: High St@21.5	899	301	4	4	0	0	0	0.57	0.57				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	53-899: Melton Hwy@13.5-376: High St@3.8	899	376	205	193	0	8	0	0.12	0.12		0.10		0.00	0.00		0.00		LOS_A	1	0.00	0.00	4	0.07	0.00	LOS_A	1
1	3600-7200	53-899: Melton Hwy@13.5-271619: Melton Hwy@15.3	899	271619	289	280	0	9	0	0.29	0.29		0.26		0.00	0.00		0.00		LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	53-900: High St@7.7-199: Melton Hwy@15.4	900	199	130	119	0	7	0	1.04	1.00		0.85		0.00	0.00		0.00		LOS_A	1	0.00	0.00	4	2.71	0.00	LOS_A	1
1	3600-7200	53-900: High St@7.7-301: High St@21.5	900	301	10	10	0	0	0	0.19	0.19				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	53-900: High St@7.7-376: High St@3.8	900	376	0	0	0	0	0											LOS_A		0.00	0.00	0			LOS_A	
1	3600-7200	53-900: High St@7.7-271619: Melton Hwy@15.3	900	271619	33	33	0	0	0	3.77	3.77				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	53-901: Melton Hwy@54.1-199: Melton Hwy@15.4	901	199	310	295	0	15	0	0.56	0.57		0.43		0.00	0.00		0.00		LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	53-901: Melton Hwy@54.1-301: High St@21.5	901	301	3	3	0	0	0	1.42	1.42				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	53-901: Melton Hwy@54.1-376: High St@3.8	901	376	1	1	0	0	0	0.16	0.16				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	53-901: Melton Hwy@54.1-271619: Melton Hwy@15.3	901	271619	0	0	0	0	0											LOS_A		0.00	0.00	0			LOS_A	
1	3600-7200	53-1241: High St@3.1-199: Melton Hwy@15.4	1241	199	22	22	0	0	0	1.68	1.68				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	53-1241: High St@3.1-301: High St@21.5	1241	301	0	0	0	0	0											LOS_A		0.00	0.00	0			LOS_A	
1	3600-7200	53-1241: High St@3.1-376: High St@3.8	1241	376	3	3	0	0	0	0.04	0.04				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	53-1241: High St@3.1-271619: Melton Hwy@15.3	1241	271619	1	1	0	0	0	0.21	0.21				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	53			1011	964	0	39	0	0.58	0.58		0.40		0.00	0.00		0.00		LOS_A	1	0.00	0.00	8	1.39	0.00	LOS_A	1
1	3600-7200	54-526: Ferris Rd@22.5-310@35.3	526	310	4	3	0	1	0	2.79	2.47		3.76		0.00	0.00		0.00		LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	54-526: Ferris Rd@22.5-421: Ferris Rd@15.4	526	421	0	0	0	0	0											LOS_A		0.00	0.00	0			LOS_A	
1	3600-7200	54-526: Ferris Rd@22.5-525: Ferris Rd@18.9	526	525	326	295	0	26	3	0.11	0.10		0.19	0.18	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00	2	0.00	0.00	LOS_A	1
1	3600-7200	54-527: Zone connector@58.2-310@35.3	527	310	1	1	0	0	0	3.00	3.00				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	54-527: Zone connector@58.2-421: Ferris Rd@15.4	527	421	705	657	0	36	10	0.55	0.54		0.87	0.65	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00	2	0.01	0.00	LOS_A	1
1	3600-7200	54-528@5.7-421: Ferris Rd@15.4	528	421	14	14	0	0	0	1.77	1.77				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	54-528@5.7-525: Ferris Rd@18.9	528	525	1	1	0	0	0	0.22	0.22				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	54			1051	971	0	63	13	0.44	0.43		0.63	0.54	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00	4	0.00	0.00	LOS_A	1
1	3600-7200	58-600: Leakes Rd@50.8-273@50.4	600	273	204	203	0	1	0	0.52	0.52		1.24		0.01	0.01		0.00		LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	58-600: Leakes Rd@50.8-437: Leakes Rd@57.3	600	437	477	446	0	12	2	0.96	0.22		0.13	0.08	0.01	0.00		0.00	0.00	LOS_A	1	0.00	0.00	17	20.98	0.41	LOS_C	3
1	3600-7200	58-1263: Leakes Rd@67.9-271: Leakes Rd@3.2	1263	271	309	279	1	10	2	1.39	0.06	0.13	0.07	0.16	0.03	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00	17	24.22	0.46	LOS_C	3
1	3600-7200	58-1263: Leakes Rd@67.9-273@50.4	1263	273	337	324	0	11	2	0.59	0.60		0.50	0.51	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	58-2374@24.3-271: Leakes Rd@3.2	2374	271	78	73	0	4	1	3.32	3.07		7.07	6.14	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	58-2374@24.3-437: Leakes Rd@57.3	2374	437	93	87	1	4	1	0.44	0.37	2.85	1.04	1.53	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	58			1498	1412	2	42	8	1.00	0.47	1.49	0.99	1.14	0.01	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00	34	22.60	0.44	LOS_C	3
1	3600-7200	59-271: Leakes Rd@241.4-401: Leakes Rd@29.1	271	401	387	352	1	14	3	0.14	0.03	0.05	0.06	0.14	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00	17	2.56	0.00	LOS_A	1
1	3600-7200	59-443@92.7-270: Leakes Rd@23.7	443	270	103	103	0	0	0	0.18	0.18				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	59-443@92.7-442@13.5	443	442	0	0	0	0	0											LOS_A		0.00	0.00	0			LOS_A	
