$MOVEMENTEVALUATION:SIMRUN	TIMEINT	MOVEMENT	MOVEMENT\FROMLINK	MOVEMENT\TOLINK	VEHS(ALL)	VEHS(10)	VEHS(20)	VEHS(30)	VEHS(40)	VEHDELAY(ALL)	VEHDELAY(10)	VEHDELAY(20)	VEHDELAY(30)	VEHDELAY(40)	STOPDELAY(ALL)	STOPDELAY(10)	STOPDELAY(20)	STOPDELAY(30)	STOPDELAY(40)	LOS(ALL)	LOSVAL(ALL)	QLEN	QLENMAX
1	3600-7200	51-347: Panamax Rd@4.8-10: Ballarat Rd  Western Hwy@18.5	347	10	60	56	0	4	0	0.03	0.03		0.04		0.00	0.00		0.00		LOS_A	1	0.00	0.00
1	3600-7200	51-347: Panamax Rd@4.8-385: Chisholm Dr@11.7	347	385	4	4	0	0	0	4.70	4.70				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	51-347: Panamax Rd@4.8-670: Ballarat Rd  Western Hwy@1.4	347	670	65	61	0	3	1	7.03	6.99		7.58	7.53	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	51-360: Ballarat Rd  Western Hwy@55.2-10: Ballarat Rd  Western Hwy@18.5	360	10	775	740	0	35	0	0.58	0.53		1.47		0.00	0.00		0.00		LOS_A	1	0.00	0.00
1	3600-7200	51-360: Ballarat Rd  Western Hwy@55.2-385: Chisholm Dr@11.7	360	385	8	8	0	0	0	5.18	5.18				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	51-360: Ballarat Rd  Western Hwy@55.2-671: Panamax Rd@7.5	360	671	108	104	1	3	0	4.17	4.04	14.84	4.91		0.00	0.00	0.00	0.00		LOS_A	1	0.00	0.00
1	3600-7200	51-673: Chisholm Dr@12.9-10: Ballarat Rd  Western Hwy@18.5	673	10	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	51-673: Chisholm Dr@12.9-670: Ballarat Rd  Western Hwy@1.4	673	670	2	2	0	0	0	4.96	4.96				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	51-673: Chisholm Dr@12.9-671: Panamax Rd@7.5	673	671	2	2	0	0	0	12.64	12.64				0.00	0.00				LOS_B	2	0.00	0.00
1	3600-7200	51-885: Ballarat Rd  Western Hwy@6.9-10: Ballarat Rd  Western Hwy@18.5	885	10	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	51-885: Ballarat Rd  Western Hwy@6.9-385: Chisholm Dr@11.7	885	385	1	1	0	0	0	2.22	2.22				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	51-885: Ballarat Rd  Western Hwy@6.9-670: Ballarat Rd  Western Hwy@1.4	885	670	425	368	0	50	7	0.20	0.21		0.13	0.45	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	51-885: Ballarat Rd  Western Hwy@6.9-671: Panamax Rd@7.5	885	671	119	118	0	1	0	5.30	5.30		6.06		0.00	0.00		0.00		LOS_A	1	0.00	0.00
1	3600-7200	51			1573	1468	1	96	8	1.39	1.40	14.84	1.06	1.33	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	52-928: Melton Hwy@4.6-182@17.4	928	182	576	541	0	32	1	3.82	3.79		4.16	3.76	0.01	0.01		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	52-928: Melton Hwy@4.6-308: Ferris Rd  Melton Hwy@32.8	928	308	347	327	0	16	4	0.60	0.63		0.25	0.11	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	52-2259: Ferris Rd  Melton Hwy@16.4-182@17.4	2259	182	541	503	0	34	4	4.71	4.65		5.49	6.20	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	52-2259: Ferris Rd  Melton Hwy@16.4-200: Melton Hwy@86.6	2259	200	798	770	1	21	5	0.98	0.93	5.63	2.42	2.49	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	52-2260@38.7-200: Melton Hwy@86.6	2260	200	180	179	0	1	0	8.06	8.03		13.51		0.00	0.00		0.00		LOS_A	1	0.00	0.00
1	3600-7200	52-2260@38.7-308: Ferris Rd  Melton Hwy@32.8	2260	308	119	114	0	4	1	0.50	0.44		2.35	0.16	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	52			2561	2434	1	108	15	2.83	2.79	5.63	3.68	2.77	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	54-526: Ferris Rd@22.5-310@35.3	526	310	6	5	0	1	0	6.71	6.72		6.66		0.00	0.00		0.00		LOS_A	1	0.00	0.00
