$MOVEMENTEVALUATION:SIMRUN	TIMEINT	MOVEMENT	MOVEMENT\FROMLINK	MOVEMENT\TOLINK	VEHS(ALL)	VEHS(10)	VEHS(20)	VEHS(30)	VEHS(40)	VEHDELAY(ALL)	VEHDELAY(10)	VEHDELAY(20)	VEHDELAY(30)	VEHDELAY(40)	STOPDELAY(ALL)	STOPDELAY(10)	STOPDELAY(20)	STOPDELAY(30)	STOPDELAY(40)	LOS(ALL)	LOSVAL(ALL)	QLEN	QLENMAX
1	7200-10800	54-527: Zone connector@58.2-310@35.3	527	310	0	0	0	0	0											LOS_A		82.97	217.95
1	7200-10800	54-527: Zone connector@58.2-421: Ferris Rd@15.4	527	421	1621	1523	5	58	35	22.86	22.89	42.71	19.78	23.84	3.55	3.57	3.78	3.02	3.51	LOS_C	3	82.97	217.95
1	7200-10800	54-528@5.7-421: Ferris Rd@15.4	528	421	31	28	0	2	1	9.33	9.01		12.48	12.09	1.01	1.00		1.68	0.00	LOS_A	1	0.00	0.00
1	7200-10800	54-528@5.7-525: Ferris Rd@18.9	528	525	4	4	0	0	0	10.31	10.31				2.44	2.44				LOS_B	2	0.00	0.00
1	7200-10800	54			3206	3016	9	115	66	19.97	20.01	38.79	18.29	18.62	2.96	2.99	4.03	2.37	2.54	LOS_C	3	43.78	217.95
1	7200-10800	58-600: Leakes Rd@50.8-273@50.4	600	273	389	354	0	16	19	9.79	9.45		14.65	12.06	0.25	0.18		2.14	0.00	LOS_A	1	0.00	0.00
1	7200-10800	58-600: Leakes Rd@50.8-437: Leakes Rd@57.3	600	437	1319	1250	1	30	36	3.42	3.36	7.86	3.85	4.77	0.04	0.04	0.00	0.00	0.02	LOS_A	1	0.00	0.00
1	7200-10800	58-1263: Leakes Rd@68.4-271: Leakes Rd@68.8	1263	271	1691	1626	2	30	31	6.34	6.28	4.69	6.12	9.82	0.49	0.49	0.00	0.14	0.84	LOS_A	1	0.00	0.00
1	7200-10800	58-1263: Leakes Rd@68.4-273@50.4	1263	273	736	688	0	32	16	6.77	6.70		7.30	8.81	0.80	0.80		0.74	0.69	LOS_A	1	0.00	0.00
1	7200-10800	58-2374@24.3-271: Leakes Rd@68.8	2374	271	421	404	2	7	8	8.08	7.88	15.14	11.89	12.86	0.05	0.05	0.00	0.00	0.00	LOS_A	1	0.10	17.99
1	7200-10800	58-2374@24.3-437: Leakes Rd@57.3	2374	437	547	523	0	16	8	2.43	2.34		4.40	4.09	0.05	0.05		0.00	0.00	LOS_A	1	0.00	0.00
1	7200-10800	58			5103	4845	5	131	118	5.63	5.53	9.50	7.03	8.32	0.32	0.31	0.00	0.47	0.32	LOS_A	1	0.02	17.99
1	7200-10800	59-271: Leakes Rd@308.5-401: Leakes Rd@28.9	271	401	2112	2030	4	37	39	1.43	1.38	3.53	2.10	2.90	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
