$MOVEMENTEVALUATION:SIMRUN	TIMEINT	MOVEMENT	MOVEMENT\FROMLINK	MOVEMENT\TOLINK	VEHS(ALL)	VEHS(10)	VEHS(20)	VEHS(30)	VEHS(40)	VEHDELAY(ALL)	VEHDELAY(10)	VEHDELAY(20)	VEHDELAY(30)	VEHDELAY(40)	STOPDELAY(ALL)	STOPDELAY(10)	STOPDELAY(20)	STOPDELAY(30)	STOPDELAY(40)	LOS(ALL)	LOSVAL(ALL)	QLEN	QLENMAX
2	7200-10800	314-2409@18.3-2410@13.9	2409	2410	45	44	0	1	0	0.27	0.27		0.32		0.00	0.00		0.00		LOS_A	1	0.00	0.00
2	7200-10800	314-2409@18.3-2424@24.2	2409	2424	1352	1260	5	67	20	1.15	1.15	1.83	1.13	0.96	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	7200-10800	314-2413@40.6-2402@17.0	2413	2402	722	647	3	59	13	0.67	0.64	0.64	0.90	0.92	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	7200-10800	314-2413@40.6-2410@13.9	2413	2410	1	1	0	0	0	0.10	0.10				0.00	0.00				LOS_A	1	0.00	0.00
2	7200-10800	314-2517@5.7-2517@54.4	2517	2517	0	0	0	0	0											LOS_A		0.00	0.00
2	7200-10800	314			2170	2002	8	127	33	0.95	0.95	1.38	1.02	0.94	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	7200-10800	315-2424@32.6-2426@30.8	2424	2426	1260	1176	4	63	17	0.44	0.45	0.32	0.32	0.21	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	7200-10800	315-2424@32.6-2434@37.0	2424	2434	24	18	1	2	3	0.08	0.02	0.64	0.25	0.18	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	7200-10800	315-2424@32.6-2439@33.6	2424	2439	74	72	0	2	0	0.19	0.18		0.32		0.00	0.00		0.00		LOS_A	1	0.00	0.00
2	7200-10800	315-2430@18.6-2413@31.6	2430	2413	123	104	0	15	4	1.76	1.41		3.61	3.73	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
2	7200-10800	315-2430@18.6-2426@30.8	2430	2426	19	15	0	3	1	0.39	0.47		0.10	0.14	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
2	7200-10800	315-2430@18.6-2439@33.6	2430	2439	3	3	0	0	0	3.64	3.64				0.00	0.00				LOS_A	1	0.00	0.00
2	7200-10800	315-2438@12.4-2413@31.6	2438	2413	25	23	0	2	0	0.54	0.58		0.16		0.00	0.00		0.00		LOS_A	1	0.00	0.00
2	7200-10800	315-2438@12.4-2426@30.8	2438	2426	21	19	0	2	0	3.07	2.84		5.23		0.00	0.00		0.00		LOS_A	1	0.00	0.00
2	7200-10800	315-2438@12.4-2434@37.0	2438	2434	13	12	0	1	0	5.77	5.62		7.51		0.00	0.00		0.00		LOS_A	1	0.00	0.00
2	7200-10800	315-2442@2.5-2413@31.6	2442	2413	575	521	3	42	9	0.14	0.13	0.04	0.19	0.18	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	7200-10800	315-2442@2.5-2434@37.0	2442	2434	36	35	0	1	0	0.92	0.93		0.49		0.00	0.00		0.00		LOS_A	1	0.00	0.00
2	7200-10800	315-2442@2.5-2439@33.6	2442	2439	16	11	2	3	0	0.88	0.46	2.55	1.29		0.00	0.00	0.00	0.00		LOS_A	1	0.00	0.00
2	7200-10800	315			2189	2009	10	136	34	0.50	0.47	0.71	0.78	0.61	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	7200-10800	316			0	0	0	0	0											LOS_A			
2	7200-10800	317			0	0	0	0	0											LOS_A			
2	7200-10800	318			0	0	0	0	0											LOS_A			
2	7200-10800	319			0	0	0	0	0											LOS_A			
2	7200-10800	320			0	0	0	0	0											LOS_A			
2	7200-10800	322-2388@109.5-2387: Western Fwy  Deer Park Byp@24.8	2388	2387	362	301	0	48	13	0.32	0.36		0.11	0.10	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
2	7200-10800	322-2397: Western Fwy  Deer Park Byp@856.0-2387: Western Fwy  Deer Park Byp@24.8	2397	2387	969	815	4	114	36	0.49	0.40	1.63	0.96	0.99	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	7200-10800	322			1331	1116	4	162	49	0.44	0.39	1.63	0.71	0.76	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	7200-10800	323-2479: Western Fwy  Deer Park Byp@45.2-2477@22.4	2479	2477	565	507	5	39	14	4.56	4.42	9.55	5.41	5.29	0.03	0.04	0.02	0.00	0.00	LOS_A	1	0.38	81.70
2	7200-10800	323-2479: Western Fwy  Deer Park Byp@45.2-2478: Western Fwy  Deer Park Byp@23.8	2479	2478	1722	1644	5	56	17	2.53	2.55	1.75	2.26	1.60	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.38	81.70
2	7200-10800	323			2287	2151	10	95	31	3.03	2.99	5.65	3.55	3.27	0.01	0.01	0.01	0.00	0.00	LOS_A	1	0.38	81.70
2	7200-10800	324-2478: Western Fwy  Deer Park Byp@815.7-2483: Western Fwy  Deer Park Byp@32.3	2478	2483	1720	1642	5	56	17	0.57	0.57	1.01	0.48	0.54	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	7200-10800	324-2485@71.7-2483: Western Fwy  Deer Park Byp@32.3	2485	2483	449	435	0	12	2	0.55	0.52		1.10	3.64	0.01	0.01		0.00	0.00	LOS_A	1	0.00	0.00
2	7200-10800	324			2169	2077	5	68	19	0.57	0.56	1.01	0.59	0.87	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	7200-10800	325-2398: Western Fwy  Deer Park Byp@30.6-2385@22.8	2398	2385	827	785	0	35	7	6.63	6.65		6.11	6.74	0.05	0.05		0.00	0.00	LOS_A	1	0.69	120.38
2	7200-10800	325-2398: Western Fwy  Deer Park Byp@30.6-2397: Western Fwy  Deer Park Byp@22.6	2398	2397	969	815	4	114	36	2.52	2.66	2.45	1.93	1.34	0.03	0.03	0.00	0.00	0.00	LOS_A	1	0.69	120.38
2	7200-10800	325			1796	1600	4	149	43	4.41	4.62	2.45	2.91	2.22	0.04	0.04	0.00	0.00	0.00	LOS_A	1	0.69	120.38
2	7200-10800	326-2502: Western Fwy  Deer Park Byp@2131.3-2513: Western Fwy  Deer Park Byp@18.8	2502	2513	924	835	0	67	22	0.08	0.08		0.09	0.07	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
2	7200-10800	326-2514: Western Fwy  Deer Park Byp@123.8-2513: Western Fwy  Deer Park Byp@18.8	2514	2513	873	766	4	82	21	2.78	2.76	4.20	2.72	3.46	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	7200-10800	326			1797	1601	4	149	43	1.39	1.36	4.20	1.53	1.73	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	7200-10800	327-2505: Western Fwy  Deer Park Byp@33.7-2506: Western Fwy  Deer Park Byp@21.2	2505	2506	1598	1517	5	59	17	1.83	1.86	0.86	1.19	1.42	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.05	17.24
