$MOVEMENTEVALUATION:SIMRUN	TIMEINT	MOVEMENT	MOVEMENT\FROMLINK	MOVEMENT\TOLINK	VEHS(ALL)	VEHS(10)	VEHS(20)	VEHS(30)	VEHS(40)	VEHDELAY(ALL)	VEHDELAY(10)	VEHDELAY(20)	VEHDELAY(30)	VEHDELAY(40)	STOPDELAY(ALL)	STOPDELAY(10)	STOPDELAY(20)	STOPDELAY(30)	STOPDELAY(40)	LOS(ALL)	LOSVAL(ALL)	QLEN	QLENMAX
1	3600-7200	54-526: Ferris Rd@22.5-310@35.3	526	310	17	14	0	2	1	8.76	7.86		14.22	10.34	0.61	0.33		2.90	0.00	LOS_A	1	0.08	38.40
1	3600-7200	54-526: Ferris Rd@22.5-421: Ferris Rd@15.4	526	421	22	22	0	0	0	7.00	7.00				0.52	0.52				LOS_A	1	0.08	38.40
1	3600-7200	54-526: Ferris Rd@22.5-525: Ferris Rd@18.9	526	525	677	604	2	55	16	0.78	0.68	2.36	1.39	2.12	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.08	38.40
1	3600-7200	54-527: Zone connector@58.2-310@35.3	527	310	3	2	0	1	0	7.64	5.30		12.32		0.00	0.00		0.00		LOS_A	1	11.83	203.50
1	3600-7200	54-527: Zone connector@58.2-421: Ferris Rd@15.4	527	421	1365	1282	1	66	16	11.68	11.74	1.75	9.35	16.58	1.54	1.59	0.00	0.53	1.93	LOS_B	2	11.83	203.50
1	3600-7200	54-528@5.7-421: Ferris Rd@15.4	528	421	32	32	0	0	0	8.06	8.06				0.35	0.35				LOS_A	1	0.00	0.00
1	3600-7200	54-528@5.7-525: Ferris Rd@18.9	528	525	1	0	1	0	0	0.00		0.00			0.00		0.00			LOS_A	1	0.00	0.00
1	3600-7200	54			2117	1956	4	124	33	8.05	8.18	1.62	5.92	9.38	1.01	1.06	0.00	0.33	0.93	LOS_A	1	3.97	203.50
1	3600-7200	58-600: Leakes Rd@50.8-273@50.4	600	273	351	351	0	0	0	9.43	9.43				0.62	0.62				LOS_A	1	0.00	0.00
1	3600-7200	58-600: Leakes Rd@50.8-437: Leakes Rd@57.3	600	437	937	906	1	23	6	1.92	1.86	2.76	4.03	2.69	0.03	0.02	0.00	0.46	0.00	LOS_A	1	0.00	0.00
